Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
ACN	Accenture Plc	Miscellaneous	Business Services	17.4	6.76	2.07	622619000	2.42	2.01	2.18	9.79
ACP	Avenue Income Credit Strategies	Finance	Property Management	0	0	0	0	0	0	0	0
ACRE	Ares Commercial Real Estate Cor			9.25	1.45	7.76	28452840	1.04	2.13	4.33	0.91
ACV	Allianzgi Diversified Income &	Consumer Non-Durables	Package Goods/Cosmetics	0	1.7	0	0	0	0	0	0
ADC	Agree Realty Corp	Consumer Services	Real Estate Investment Trusts	25.59	1.88	4.17	23725290	1.98	-29.18	13.17	1.96
ADM	Archer Daniels Midland Company	Consumer Non-Durables	Packaged Foods	20.29	2.16	2.95	582934100	1.28	1.16	0.41	1.48
ADNT	Adient Plc			0	-16.24	0	93714290	0	0.66	0.34	1.76
ADPT	Adeptus Health Inc			1.17	5.64	0	16394540	0	0.04	0.26	0.4
ADS	Alliance Data Systems Corp	Miscellaneous	Business Services	30.93	7.34	0.91	57613530	2.08	1.04	1.84	7.94
ADSW	Advanced Disposal Services Inc			0	-0.3	0	87782810	0	-73.99	1.37	3.05
ADX	Adams Express Company	Finance	Closed-End Fund - Debt	0	-0.1	0	97305390	0	0	48.75	0.88
AEB	Aegon N.V.	Finance	Life Insurance	0	-0.31	0	0	0	0	0	0
AED	Aegon N.V.	Finance	Life Insurance	0	-0.31	0	0	0	0	0	0
AEE	Ameren Corp	Public Utilities	Power Generation	19.79	2.67	3.33	242584500	1.76	3.37	2.2	1.78
AEG	Aegon N.V.	Finance	Life Insurance	0	-0.26	5.42	2050542000	0.29	0.35	0.19	0.42
AEH	Aegon N.V.	Finance	Life Insurance	0	0.25	0	0	0	0	0	0
AEK	Aegon N.V. 8.00%			0	-0.26	0	2051084000	0	0	0.91	1.98
AEL	American Equity Investment Life	Finance	Life Insurance	26.91	-0.05	0.99	88122610	0.24	1.1	1.02	0.99
AEM	Agnico-Eagle Mines Ltd	Basic Industries	Precious Metals	142.78	0.36	0.79	224670500	0.4	2.27	5.31	2.53
AEO	American Eagle Outfitters	Consumer Services	Clothing/Shoe/Accessory Stores	12.19	1.29	3.32	182165600	0.5	1.03	0.78	2.4
AEP	American Electric Power Company	Public Utilities	Electric Utilities: Central	51.49	1.24	3.7	491634100	2.36	11.6	1.9	1.79
AER	Aercap Holdings N.V.	Technology	Diversified Commercial Services	9.47	4.89	0	178401700	0	2.47	1.61	0.98
AES	The Aes Corp	Basic Industries	Electric Utilities: Central	0	-0.41	4.18	658914700	0.48	4.33	0.54	2.62
AES-C	Aes TR III 6.75 Pfd	Basic Industries	Electric Utilities: Central	0	0	0	0	0	0	0	0
AET	Aetna Inc	Health Care	Hospital And Medical Service Plans	18.98	6.41	0.82	351713400	1	1.01	0.67	2.38
AEUA	Anadarko Petroleum Corp			0	-5.9	0	550910300	0	0	2.87	1.99
AF	Astoria Financial Corp	Finance	Savings Institutions	30.1	0.62	0.87	100214400	0.16	6.77	4.77	1.18
AF-C	Astoria Financial Corp			0	0	0	0	0	0	0	0
AFA	American Financial Group Inc			3.42	7.33	0	86852590	0	0	0.35	0.45
AFB	Alliance National Municipal	Finance	Closed-End Fund - Debt	0	1.21	0	0	0	0	0	0
AFC	Allied Capital Corp		Property & Casualty Insurance	0	-1.167	0	0	0	0	0	0
AFG	American Financial Group	Finance	Property-Casualty Insurers	12.49	7.33	1.37	86947020	1.25	1.82	1.26	1.61
AFGE	American Financial Group Inc			3.64	7.33	0	86923940	0	0	0.37	0.47
AFGH	American Financial Group Inc			0	0	0	6000101000	0	0	0	0
AFI	Armstrong Flooring Inc			144.04	0.15	0	27827130	0	0.71	0.49	0.95
AFL	Aflac Incorporated	Finance	Accident &Health Insurance	10.9	6.42	2.46	405830200	1.72	1.59	1.26	1.38
AFS-A	Amtrust Financial Services Inc			0	0	0	0	0	0	0	0
AFS-B	Amtrust Financial Services Dep Pfd			0	0	0	0	0	0	0	0
AFS-C	Amtrust Financial Services Series C			0	0	0	0	0	0	0	0
AFS-D	Amtrust Financial Services Dep Pfd			0	0	0	0	0	0	0	0
AFS-E	Amtrust Financial Services Inc Prf			0	0	0	0	0	0	0	0
AFS-F	Amtrust Financial Services Inc			0	0	0	0	0	0	0	0
AFSD	Aflac Incorporated			3.98	6.42	0	405944500	0	0	0.46	0.51
AFSS	Amtrust Financial Services Inc			11.239	2.312	0	170483000	0	0	0.838	1.7
AFST	Amtrust Financial Services Inc			0	0	0	0	0	0	0	0
AFT	Apollo Senior Floating Rate Fund Inc			0	0	0	0	0	0	0	0
AFW	American Financial Group Inc			3.53	7.33	0	86973320	0	0	0.36	0.46
AG	First Majestic Silver	Industrial Goods	Farm & Construction Machinery	0	-0.61	0	164150900	0	1.62	6.03	2.7
AGC	Advent Claymore Convertible Securities			0	0	0	0	0	0	0	0
AGCO	Agco Corp	Capital Goods	Industrial Machinery/Components	33.03	1.96	0.87	79857890	0.56	2.08	0.69	1.85
AGD	Alpine Global Dynamic Dividend Fund			0	-0.05	0	0	0	0	0	0
AGI	Alamos Gold Inc			0	-0.22	0.33	267605600	0.02	7.54	4.93	1.29
AGM	Federal Agricultural Mortgage Corp	Finance	Finance Companies	11.57	4.95	1.83	10482970	1.04	1.43	4.13	1.51
AGM-A	Federal Agricultural Mortgage			11.02	4.95	1.79	10483030	1.04	0	4.22	1.54
AGM-B	Federal Ag			0	0	0	0	0	0	0	0
AGM-C	Federal Agricultural Mortgage			0	0	0	0	0	0	0	0
AGM.A	Federal Agricultural Mortgage Corp	Finance	Finance Companies	0	0	0	0	0	0	0	0
AGN	Allergan Plc	Consumer Durables	Major Pharmaceuticals	6.45	35.66	1.14	375060900	2.8	1.07	6.32	1.11
AGN-A	Allergan Plc. 5.50% Mandatory C			0	0	0	0	0	0	0	0
AGO	Assured Guaranty Ltd	Finance	Property-Casualty Insurers	5.01	8.14	1.28	130424100	0.52	2.28	3.02	0.8
AGO-B	Assured Guaranty Ltd [B]			0	0	0	0	0	0	0	0
AGO-E	Assured Guaranty Ltd [E]			0	0	0	0	0	0	0	0
AGO-F	Assured Guaranty Ltd [F]			0	0	0	0	0	0	0	0
AGR	Avangrid Inc	Technology	Semiconductor - Integrated Circuits	23.26	1.74	4.31	309081900	1.73	2.54	2.18	0.82
AGRO	Adecoagro S.A.	Consumer Non-Durables	Farming/Seeds/Milling	516.67	0.02	0	121774200	0	24.8	2	2.36
AGU	Agrium Inc	Basic Industries	Agricultural Chemicals	24.64	5.25	3.47	138032200	3.5	8.85	1.05	2.33
AGX	Argan Inc			20.17	3.69	0	15302010	0	0	1.9	4.18
AHC	A.H. Belo Corp	Consumer Services	Newspapers/Magazines	0	-0.67	5.04	21675590	0.32	0	0.52	1.24
AHH	Armada Hoffler Properties Inc			14.16	0.97	5.65	52048100	0.76	7.91	2.86	2.26
AHL	Aspen Insurance Holdings	Finance	Property-Casualty Insurers	21.36	5.72	1.56	59730940	0.88	-10.78	1.16	1.11
AHL-B	Aspen Insurance Holdings Limit			0	0	0	0	0	0	0	0
AHL-C	Aspen Ins Pfd Inc			0	0	0	0	0	0	0	0
AHL-D	Aspen Insurance Holdings Ltd			0	0	0	0	0	0	0	0
AHP	Ashford Hospitality Prime Inc			43.44	0.31	3.56	25968910	0.48	1.84	0.88	1.12
AHP-B	Ashford Hospitality Prime Inc			0	0	0	0	0	0	0	0
AHT	Ashford Hospitality Trust Inc	Consumer Services	Real Estate Investment Trusts	0	-0.71	6.26	96177980	0.48	0.26	0.49	0.99
AHT-A	Ashford Hsop TR Pfd			0	0	0	0	0	0	0	0
AHT-D	Ashford Hosp D Pfd			0	0	0	0	0	0	0	0
AHT-F	Ashford Hospitality Trust Inc			0	0	0	0	0	0	0	0
AHT-G	Ashford Hospitality Trust Inc			0	0	0	0	0	0	0	0
AI	Arlington Asset Investment Corp	Finance	Finance/Investors Services	0	-1.79	16.79	23166110	2.5	-0.25	50.07	0.89
AIB	Apollo Investment Corp	Finance	Commercial Banks	0	-81.36	0	0	0	0	0	0
AIC	Arlington Asset Investment Cor	Finance	REIT - Diversified	0	0	0	0	0	0	0	0
AIF	Apollo Tactical Income Fund Inc			0	0	0	0	0	0	0	0
AIG	American International Group	Finance	Property-Casualty Insurers	213.71	0.31	1.97	1027130000	1.28	0.7	1.26	0.77
AIG.W	American International Group			0	0	0	0	0	0	0	0
AIN	Albany International Corp	Basic Industries	Textiles	28.99	2.32	1.43	32176660	0.68	1.45	1.96	3.01
AIR	AAR Corp	Capital Goods	Aerospace	30.23	1.11	0.93	33580980	0.3	1.34	0.67	1.28
AIT	Applied Industrial Technologies	Consumer Durables	Industrial Specialties	74.25	0.83	1.92	38965240	1.16	1.98	0.95	3.5
AIV	Apartment Investment and Management	Consumer Services	Real Estate Investment Trusts	17.12	2.67	3.19	156168000	1.44	14	7.23	4.22
AIV-A	Apartment Investment and Manag			0	0	0	0	0	0	0	0
AIW	Arlington Asset Investment Cor			0	-1.79	0	23165900	0	0	81.03	1.44
AIY	Apollo Investment Corp			0	-0.22	0	219801200	0	0	17.78	3.79
AIZ	Assurant Inc	Finance	Accident &Health Insurance	10.18	9.13	2.32	57462610	2.12	0.53	0.7	1.28
AJG	Arthur J. Gallagher & Co	Finance	Specialty Insurers	23.78	2.32	2.89	178357800	1.56	1.57	1.76	2.71
AJRD	Gencorp Inc			0	-0.26	0	69755340	0	2.57	0.78	0
AJX	Great Ajax Corp			7.06	1.86	7.69	18118990	1	0	5.16	0.87
AKO.A	Embotell Andina Sa A	Consumer Non-Durables	Beverages (Production/Distribution)	0	0	0	0	0	0	0	0
AKO.B	Embotell Andna Sa B	Consumer Non-Durables	Beverages (Production/Distribution)	0	0	0	0	0	0	0	0
AKP	Alliance California Muni	Finance	Closed-End Fund - Debt	0	1.42	0	0	0	0	0	0
AKR	Acadia Realty Trust	Consumer Services	Real Estate Investment Trusts	38.97	0.84	3.25	80931940	1.04	12.49	12.1	1.74
AKS	AK Steel Holding Corp	Basic Industries	Steel/Iron Ore	0	-0.03	0	314660300	0	0.36	0.46	0
AL	Air Lease Corporation Class A C	Technology	Diversified Commercial Services	11.64	3.29	0.79	102764700	0.3	0.7	2.83	1.18
ALB	Albemarle Corp	Basic Industries	Major Chemicals	49.06	1.91	1.3	112486700	1.22	4.1	2.99	3.2
ALDW	Alon USA Partners LP			312.26	0.03	13.71	62519630	1.35	9.8	0.35	5.44
ALE	Allete Inc	Public Utilities	Power Generation	25.11	2.62	3.26	49468890	2.14	4.18	2.35	1.73
ALEX	Alexander and Baldwin Inc	Consumer Services	Marine Transportation	0	-0.47	0.63	49041460	0.28	2.29	4.61	1.8
ALG	Alamo Group	Capital Goods	Industrial Machinery/Components	20.26	3.8	0.52	11510000	0.4	3.17	1.03	2.27
ALJ	Alon USA Energy	Energy	Integrated oil Companies	0	-1.67	5.39	71130740	0.6	0.21	0.22	1.48
ALK	Alaska Air Group	Transportation	Air Freight/Delivery Services	14.89	7.13	1.22	123369300	1.2	1.19	2.05	4.14
ALL	Allstate Corp	Finance	Property-Casualty Insurers	16.89	4.67	1.68	365999000	1.32	0.91	0.78	1.52
ALL-A	Allstate Corporation Pfd			0	0	0	0	0	0	0	0
ALL-B	Ally Financial Inc Fixed Rate F			0	0	0	0	0	0	0	0
ALL-C	The Allstate Corp			0	0	0	0	0	0	0	0
ALL-D	Allstate Corp			0	0	0	0	0	0	0	0
ALL-E	The Allstate Corporation			0	0	0	0	0	0	0	0
ALL-F	The Allstate Corporation			0	0	0	0	0	0	0	0
ALL-Y	GMAC Capital Trust I Fixed Rate			0	0	0	0	0	0	0	0
ALLE	Allegion Plc Ordinary Shares Wh			30.47	2.33	0.95	95661850	0.64	1.5	3.06	58.89
ALLY	Ally Financial			10.6	2.15	1.41	479596300	0.32	1.04	1.73	0.8
ALP-O	Alabama Pwr 5.83A Pf	Public Utilities	Electric Utilities: Central	0	0	0	0	0	0	0	0
ALR	Alere Inc	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	0	-0.7	0	87089380	0	2.02	1.42	2.36
ALR-B	Alere Inc Inverness Medical In			0	0	0	0	0	0	0	0
ALSN	Allison Transmission Holdings			29.67	1.27	1.62	165339700	0.6	2.18	3.33	5.68
ALV	Autoliv Inc	Capital Goods	Auto Parts:O.E.M.	16.45	6.42	2.23	88240860	2.32	2.27	0.92	2.52
ALX	Alexander's Inc	Consumer Services	Real Estate Investment Trusts	24.19	17.29	4.15	5094597	17	0	9.41	5.86
AM	Antero Resources Midstream Llc	Consumer Services	Consumer: Greeting Cards	30.97	1.15	3.17	177233000	1.12	1.01	11.29	5.44
AMBR	Amber Road Inc			0	-0.79	0	26819090	0	-1.03	3.43	6.87
AMC	Amc Entertainment Holdings Inc			24.74	1.27	2.58	97288670	0.8	3.39	0.98	1.93
AME	Amtek Inc	Consumer Durables	Metal Fabrications	24.44	2.19	0.68	230194300	0.36	2.04	3.19	3.76
AMFW	Amec Foster Wheeler Plc			0	-2.39	4.97	383537700	0.28	0	0.3	1.62
AMG	Affiliated Managers Group	Finance	Investment Managers	19.57	8.57	0.5	55005370	0.8	0.81	4.11	2.49
AMH	American Homes 4 Rent	Finance	Life Insurance	0	-0.25	0.88	238427900	0.2	-8.81	6.61	1.33
AMH-A	American Homes			0	0	0	0	0	0	0	0
AMH-B	American Homes 4 Rent 5% Series			0	0	0	0	0	0	0	0
AMH-C	American Homes			0	0	0	0	0	0	0	0
AMH-D	American Homes 4 Rent			0	0	0	0	0	0	0	0
AMH-E	American Homes 4 Rent 6.35% Ser			0	0	0	0	0	0	0	0
AMID	American Midstreampartners LP			0	-4.8	9.91	31867250	1.65	-39.65	2.47	3.44
AMN	Amn Healthcare Services Inc	Capital Goods	Building Materials	18.66	2.02	0	48010610	0	1.33	1	4.19
AMOV	America Movil A Ads			109	0.12	4.34	3273700000	0.54	0	0.88	3.16
AMP	Ameriprise Financial Services	Finance	Investment Managers	15.92	7.81	2.42	154774400	3	0.79	1.63	3.04
AMRC	Ameresco Inc	Basic Industries	Engineering & Construction	24.16	0.21	0	45849500	0	3.59	0.35	0.78
AMT	American Tower Corp	Consumer Services	Telecommunications Equipment	52.8	2	2.22	425727600	2.32	1.52	8.15	6.71
AMT-A	Apollo Residential Mortgage Prfd			0	0	0	0	0	0	0	0
AMT-B	American Tower Corporation [Rei			0	0	0	0	0	0	0	0
AMX	America Movil S.A.B. De C.V	Public Utilities	Telecommunications Equipment	108.83	0.12	2.11	3274119000	0.27	0.62	0.88	3.17
AN	Autonation Inc	Consumer Durables	Automotive Aftermarket	11.54	4.15	0	100877200	0	1.09	0.22	2.06
ANET	Arista Networks Inc			42.72	2.31	0	70257140	0	1.55	6.56	6.78
ANF	Abercrombie & Fitch Company	Consumer Services	Clothing/Shoe/Accessory Stores	66.76	0.19	6.54	67674100	0.8	-14.2	0.24	0.68
ANFI	Amira Nature Foods Ltd			6.64	0.92	0	36221680	0	0.21	0.41	0.97
ANH	Anworth Mortgage Asset Corp	Consumer Services	Real Estate Investment Trusts	15.58	0.34	11.56	95712120	0.6	199.25	9.22	0.82
ANH-A	Anworth Mtg Pfd A			0	0	0	0	0	0	0	0
ANH-B	Anworth 6.25 Pr S B			0	0	0	0	0	0	0	0
ANH-C	Anworth Mortgage Asset Corpora			0	0	0	0	0	0	0	0
ANTM	Anthem Inc			17.62	9.21	1.64	268728400	2.6	1.18	0.51	1.73
ANTX	Anthem Inc			0	9.38	0	0	0	0	0	0
ANW	Aegean Marine Petroleum Network	Energy	Oil Refining/Marketing	11.73	0.93	0.73	39402760	0.08	0.82	0.11	0.76
AOD	Alpine Total Dynamic Dividend			0	-0.68	0	0	0	0	0	0
AOI	Alliance One International	Consumer Services	Farming/Seeds/Milling	3.54	4.28	0	8949175	0	0	0.07	0.66
AON	AON Plc	Finance	Specialty Insurers	22.4	5.42	1.15	265593900	1.32	2.15	2.63	5.59
AOS	Smith [A.O.] Corp	Consumer Durables	Metal Fabrications	26.99	1.85	1.13	175998400	0.56	2.08	3.27	5.79
AP	Ampco-Pittsburgh Corp	Capital Goods	Fluid Controls	0	-2.91	2.47	12269900	0.36	0	0.64	0.97
APA	Apache Corp	Energy	Oil & Gas Production	0	-47.56	1.76	379400500	1	5.7	4.39	3.34
APAM	Artisan Partners Asset Manageme			15.76	1.92	7.95	42052980	2.4	3.47	1.73	10.62
APB	Asia Pacific Fund Inc	Finance	Closed-End Fund - Foreign	0	0.91	0	0	0	0	0	0
APC	Anadarko Petroleum Corp	Energy	Oil & Gas Production	0	-5.9	0.3	551052700	0.2	19.2	4.46	3.09
APD	Air Products and Chemicals	Basic Industries	Major Chemicals	53.96	2.6	2.74	217583700	3.8	-75.97	3.16	4.21
APF	Morgan Stanley Asia Pacific Fund Inc	Finance	Closed-End Fund - Foreign	0	-1.85	0	0	0	0	0	0
APFH	Advancepierre Foods Holdings Inc			17.03	1.66	2.01	77195460	0.56	1.27	1.4	0
APH	Amphenol Corp	Capital Goods	Electrical Products	26.35	2.61	0.94	308564800	0.64	3.33	3.35	5.73
APLE	Apple Hospitality REIT Inc			42.55	0.48	5.96	223205500	1.2	0	4.63	1.27
APO	Apollo Global Management Llc C	Finance	Investment Managers	11.2	2.11	7.86	185436100	1.8	0.51	2.27	5.23
APTS	Preferred Apartment Communities			0	-1.76	6.35	25520200	0.88	-1.07	2.03	0.45
APU	Amerigas Partners LP	Consumer Services	Other Specialty Stores	25.66	1.87	7.82	92955400	3.76	1.23	1.91	4.65
AQN	Algonquin Pwr & Util			41.24	0.22	4.92	273637400	0.41	0	3.07	1.99
AR	Antero Resources Corp			0	-0.73	0	313757000	0	1.11	4.32	1.17
ARA	American Renal Associates Holdi	Consumer Services	Real Estate Investment Trusts	0	-0.02	0	30868060	0	1.94	0.87	0
ARC	American Reprographics Company	Consumer Services	Professional Services	0	-1.03	0	45974520	0	1.59	0.5	1.38
ARCH	Arch Coal Inc			0	-50.08	0	25003590	0	0	0.94	0
ARCO	Arcos Dorados Holdings Inc	Consumer Services	Restaurants	21.55	0.29	0	211200000	0	1	0.46	3.97
ARCX	Arc Logistics Partners LP			23.62	0.67	11.13	19302210	1.76	9.41	2.93	1.05
ARDC	Ares Dynamic Credit Allocation			0	0	0	0	0	0	0	0
ARE	Alexandria Real Estate Equities	Consumer Services	Real Estate Investment Trusts	0	-1.99	2.89	88834490	3.32	569.2	11.09	2.15
ARE-A	Alexandria Real Estate Equities			0	0	0	0	0	0	0	0
ARE-D	Alexandria Real Estate Equitie			0	0	0	0	0	0	0	0
ARE-E	Alexandria Real Estate Equitie			0	0	0	0	0	0	0	0
ARES	Ares Management LP			24.07	0.86	4.03	213942300	0.8	0.45	4.25	5.79
ARH-C	Arch Capital Group Ltd. 6.75% P			0	0	0	0	0	0	0	0
ARI	Apollo Commercial Real Estate	Consumer Services	Real Estate Investment Trusts	12.49	1.42	10.44	81081080	1.84	1.78	8.13	0.82
ARI-A	Apollo Commercial Real Estate			0	0	0	0	0	0	0	0
ARI-C	Apollo Commercial 8% Cum. Perp. Pfd. Series C			0	0	0	0	0	0	0	0
ARL	American Realty Investors	Finance	Real Estate	0	-0.44	0	15374000	0	0	1.05	1.09
ARMK	Aramark Holdings Corp			27.68	1.28	1.16	246409500	0.41	1.48	0.6	3.89
ARN-B	Arconic Inc			0	0	0	0	0	0	0	0
ARNC	Arconic Inc			0	-2.28	0.86	438555000	0.24	1.18	0.99	2.41
AROC	Archrock Inc			0	-1.56	3.06	68789810	0.48	-20.27	0	1.46
ARR	Armour Residential R	Consumer Services	Real Estate Investment Trusts	0	-1	10.48	36712910	2.28	-0.48	81.78	0.78
ARR-A	Armour Residential REIT Inc			0	0	0	0	0	0	0	0
ARR-B	Armour Residential REIT Inc			0	0	0	0	0	0	0	0
ARU	Ares Capital Corp			0	1.65	0	7000000000	0	0	0	0
ARW	Arrow Electronics	Consumer Non-Durables	Electronic Components	12.7	5.68	0	88993620	0	1.31	0.27	1.47
ASA	ASA Gold and Precious Metals	Finance	Closed-End Fund - Foreign	3.12	4.32	0.3	19289000	0.04	0	212.79	1.05
ASB	Associated Banc-Corp			20.2	1.26	1.89	151669900	0.48	2.78	3.9	1.3
ASB-C	Associated Banc-Corp Depositary			0	0	0	0	0	0	0	0
ASB-D	Associated Banc-Corp.			0	0	0	0	0	0	0	0
ASC	Ardmore Shipping Corp			58.47	0.12	9.86	33575170	0.71	2.12	1.47	0.6
ASG	Liberty All-Star Growth Fund	Finance	Closed-End Fund - Equity	0	-0.25	0	0	0	0	0	0
ASGN	On Assignment			27.21	1.72	0	52889740	0	1.28	1.03	2.88
ASH	Ashland Inc	Consumer Durables	Specialty Chemicals	0	-1.91	1.32	62184020	1.56	5.24	1.47	2.31
ASIX	Advansix Inc			10.72	2.43	0	30481980	0	0	0.63	3.3
ASPN	Aspen Aerogels Inc			0	-0.2	0	20582190	0	0	0.7	0.85
ASR	Grupo Aeroportuario Del Sureste	Transportation	Aerospace	281.09	0.56	1.91	299968100	2.95	6.38	99.61	44.01
ASX	Advanced Semiconductor Engineering	Technology	Semiconductors	15.95	0.38	4.22	1534653000	0.25	2.13	1.04	1.82
AT	Atlantic Power Corp	Energy	Electric Utilities: Central	0	-1.69	0	115634000	0	-0.22	0.66	3.26
ATEN	A10 Networks Inc			0	-0.41	0	59030460	0	3.76	2.21	6.75
ATH	Athene Holding Ltd			15.48	3.35	0	202621900	0	1.53	2.54	1.47
ATHM	Autohome Inc			23.77	1.43	0	114696400	0	114.58	5.33	4.56
ATI	Allegheny Technologies Inc	Basic Industries	Steel/Iron Ore	0	-5.97	0	108892100	0	2.01	0.73	1.7
ATKR	Atkore International Group			24.89	1.06	0	62974200	0	2.31	1.1	5.87
ATO	Atmos Energy Corp	Public Utilities	Oil/Gas Transmission	21.15	3.57	2.38	105235200	1.8	3.08	2.29	2.14
ATR	Aptargroup	Consumer Non-Durables	Plastic Products	23.59	3.08	1.74	62575210	1.28	2.53	1.98	3.92
ATTO	Atento S.A.			0	-0.16	0	73908700	0	15.26	0.39	1.7
ATU	Actuant Corp	Technology	Industrial Machinery/Components	0	-1.96	0.15	59300180	0.04	2.04	1.44	3.13
ATV	Acorn International	Consumer Services	Other Specialty Stores	0	-10.2	0	3964930	0	0	1.53	0.23
ATW	Atwood Oceanics	Energy	Oil & Gas Production	3.01	3.64	0	80469350	0	0.32	1.03	0.21
AU	Anglogold Ashanti Ltd	Basic Industries	Precious Metals	49.96	0.27	0	407767000	0	0	1.36	2.04
AUO	Au Optronics Corp	Technology	Semiconductors	0	-0.24	2.76	962216600	0.11	0.45	0.37	0.69
AUY	Yamana Gold	Basic Industries	Precious Metals	0	-1.88	0.78	946175600	0.02	4.03	1.8	0.68
AVA	Avista Corp	Public Utilities	Power Generation	18.27	2.15	3.67	64089520	1.43	3.32	1.75	1.53
AVAL	Grupo Aval Acciones Y Valores S			11.43	0.72	4.74	1113475000	0.4	0	1.9	1.78
AVB	Avalonbay Communities	Consumer Services	Real Estate Investment Trusts	23.92	7.52	3.18	137321400	5.68	8.04	11.93	2.41
AVD	American Vanguard Corp	Basic Industries	Agricultural Chemicals	40.98	0.41	0.24	29360120	0.04	1.92	1.57	1.74
AVH	Avianca Holdings S.A.			0	-2.1	1.72	124623400	0.13	-13.86	0.23	0.73
AVK	Advent Claymore Convertible Securities	Finance	Closed-End Fund - Debt	0	0.28	0	0	0	0	0	0
AVP	Avon Products	Consumer Non-Durables	Package Goods/Cosmetics	0	-1.02	0	437716300	0	0.16	0.44	0
AVT	Avnet Inc	Consumer Non-Durables	Electronic Components	15.55	3	1.46	128804100	0.68	24.88	0.23	1.27
AVX	Avx Corp	Capital Goods	Electrical Products	21.85	0.74	2.72	167594300	0.44	2.48	2.11	1.24
AVY	Avery Dennison Corp	Consumer Durables	Containers/Packaging	22.42	3.54	2.08	90071900	1.64	1.65	1.17	7.68
AWF	Alliancebernstein Global High Income Fund	Finance	Closed-End Fund - Debt	0	1.71	0	0	0	0	0	0
AWH	Allied World Assurance Company	Finance	Property-Casualty Insurers	18.79	2.84	1.96	87127600	1.04	-1.69	1.8	1.3
AWI	Armstrong World Industries Inc	Consumer Non-Durables	Plastic Products	35.02	1.13	0	55094340	0	0.94	0.89	8.36
AWK	American Water Works	Public Utilities	Water Supply	28.26	2.6	2.06	178056100	1.5	3.46	3.95	2.48
AWP	Alpine Global Premier Propertie			0	-0.28	0	0	0	0	0	0
AWR	American States Water Company	Public Utilities	Water Supply	27.31	1.63	2.2	36645680	0.97	6.31	3.66	3.28
AXE	Anixter International Inc	Consumer Non-Durables	Telecommunications Equipment	23.65	3.59	0	33431430	0	-6.11	0.37	2.16
AXL	American Axle & Manufacturing	Capital Goods	Auto Parts:O.E.M.	6.25	3.28	0	76622740	0	1.77	0.41	3.12
